"username","commentcount","likecount","type","description","pubyear","pubmonth","pubday","posturl"
"kamalaharris","243","17053","Photo","Iowa, it was good to be back. I’ll be seeing you a lot over the next month but we need your help to get us there: will you chip in $5 today to ensure our campaign can reach as many caucus-goers as possible? Link in bio to donate.","2019","9","23","https://www.instagram.com/p/B2wnln0ln9x/"
"kamalaharris","243","17053","Photo","Iowa, it was good to be back. I’ll be seeing you a lot over the next month but we need your help to get us there: will you chip in $5 today to ensure our campaign can reach as many caucus-goers as possible? Link in bio to donate.","2019","9","23","https://www.instagram.com/p/B2wnln0ln9x/"
"kamalaharris","243","17053","Photo","Iowa, it was good to be back. I’ll be seeing you a lot over the next month but we need your help to get us there: will you chip in $5 today to ensure our campaign can reach as many caucus-goers as possible? Link in bio to donate.","2019","9","23","https://www.instagram.com/p/B2wnln0ln9x/"
"kamalaharris","512","15436","Photo","The commander in chief of the United States has the responsibility to keep our nation secure. ⁣
⁣
Yet Trump prefers collaborating with a foreign government to undermine our democracy. ⁣
⁣
We need a new commander in chief.","2019","9","23","https://www.instagram.com/p/B2u6D3SFQed/"
"kamalaharris","270","15707","Photo","Our newest joyful warrior, Zoey.","2019","9","21","https://www.instagram.com/p/B2rgiPBF6Bm/"
"kamalaharris","226","10474","Photo","Yesterday, I met Mother Bridget Scholastica in Iowa, who asked me about climate change. There is no question: we have a responsibility to lead. As president, I will hold polluters accountable and get us to a clean economy. Inaction isn’t an option.","2019","9","20","https://www.instagram.com/p/B2pulbkFPxX/"
"kamalaharris","672","51013","Photo","It’s time our leaders listened. #ClimateStrike","2019","9","20","https://www.instagram.com/p/B2pHo3In8wV/"
"kamalaharris","215","14951","Photo","Don't you ever let anyone tell you who you are. 
You tell them who you are.","2019","9","20","https://www.instagram.com/p/B2nfQppnpl1/"
"kamalaharris","894","27460","Video","Let’s talk about this “electability” conversation...","2019","9","20","https://www.instagram.com/p/B2nasGul-ON/"
"kamalaharris","286","14411","Photo","Iowans, I’m looking forward to meeting you today and this weekend at our town halls and meet-and-greets — and getting a taste of my first Iowa Steak Fry! ⁣
⁣
[Link in bio to see all the Iowa events near you]","2019","9","19","https://www.instagram.com/p/B2mPxshF-Qq/"
"kamalaharris","4593","68975","Video","Incredibly powerful @sandyhookpromise 'Back-to-School' PSA. We don't have to accept this as normal. (This video contains graphic content)","2019","9","18","https://www.instagram.com/p/B2kOYg6nnGx/"
"kamalaharris","548","11882","Video","I said it last year and I’ll say it again: the process that resulted in the confirmation of Brett Kavanaugh was a sham.","2019","9","18","https://www.instagram.com/p/B2jjfoJHmt1/"
"kamalaharris","1974","66672","Video","I “Slow Jammed” the news, and Donald Trump is not gonna like it.","2019","9","17","https://www.instagram.com/p/B2h6XJ-FDN3/"
"kamalaharris","3057","85307","Video","On @fallontonight, I asked the crowd of college students if they’ve had to have a mass shooter drill at school.

Leaders need to lead. And, as president, I will take real action on gun safety.","2019","9","17","https://www.instagram.com/p/B2hN9a8H3s1/"
